90042,256,55596
90028,2213,40068
90062,104,40018
91601,2244,50832
90044,574,32278
91316,204,68720
90036,885,74279
90011,568,33824
90048,750,85396
91605,393,43004
91602,629,78526
90045,1886,90399
90037,548,31045
91401,465,51784
91607,453,60772
90066,606,75209
90230,128,79242
91406,429,51564
91325,164,65129
91436,196,159965
90025,1380,78713
90049,737,121671
90065,420,58405
90291,310,88078
91403,307,89552
90002,395,34000
90038,1290,36996
91326,731,105611
91345,37,74193
90003,826,34397
90068,194,82718
91324,555,68477
90272,514,180962
91307,24,111043
90069,288,86403
91402,462,41669
91311,553,82738
91606,361,44773
91356,170,71654
90034,612,65572
91604,546,99745
90026,1413,54342
90061,187,37126
91306,264,64772
90043,293,41812
91304,249,64367
90041,189,73250
90077,132,184722
91352,417,52171
91331,232,57353
91367,1419,84937
90004,1316,46581
91423,361,82554
90024,430,59418
90035,822,76677
91342,775,68600
91411,688,50332
91344,35,86460
90064,523,92194
90094,2661,136250
90744,471,43284
91343,412,61692
91405,1261,41283
91040,82,77910
90063,17,44121
90032,127,47370
90006,1198,33790
90020,661,42407
91335,682,55580
91042,282,53412
90501,419,64995
90019,517,50671
90046,676,65990
90029,456,37379
90031,311,41126
90059,148,37653
90731,271,49464
90210,104,149732
90067,293,123889
90023,213,40225
90039,406,81394
90016,258,43443
90001,217,35660
91364,410,100323
91303,731,51486
90007,530,23070
90047,57,42551
90293,20,100042
90732,11,89440
90027,316,58344
90015,4558,32979
90710,68,57968
90018,136,37341
90012,1398,38786
90033,317,31683
90005,923,32461
91504,0,73501
90402,18,140179
90017,645,28638
91205,2,38730
90008,110,36641
90248,166,58703
90292,395,103948
90014,2299,37619
90247,101,46076
91105,1,112765
91340,17,54703
90057,564,31337
91214,1,94322
90013,632,22808
90717,0,61077
90010,257,47115
90232,261,82254
90212,1,103032
91505,0,82630
